id,app,name,applied
1,contenttypes,0001_initial,2018-05-15 17:20:35.240836
2,auth,0001_initial,2018-05-15 17:20:35.630837
3,admin,0001_initial,2018-05-15 17:20:36.052038
4,admin,0002_logentry_remove_auto_add,2018-05-15 17:20:36.504439
5,app,0001_initial,2018-05-15 17:20:36.927640
6,contenttypes,0002_remove_content_type_name,2018-05-15 17:20:37.302040
7,auth,0002_alter_permission_name_max_length,2018-05-15 17:20:37.676441
8,auth,0003_alter_user_email_max_length,2018-05-15 17:20:38.035241
9,auth,0004_alter_user_username_opts,2018-05-15 17:20:38.394042
10,auth,0005_alter_user_last_login_null,2018-05-15 17:20:38.784043
11,auth,0006_require_contenttypes_0002,2018-05-15 17:20:38.971243
12,auth,0007_alter_validators_add_error_messages,2018-05-15 17:20:39.345644
13,auth,0008_alter_user_username_max_length,2018-05-15 17:20:39.720044
14,sessions,0001_initial,2018-05-15 17:20:40.063245
15,app,0002_auto_20180517_0947,2018-05-17 09:49:27.190177
16,app,0003_auto_20180517_0949,2018-05-17 09:49:27.565199
17,app,0004_auto_20180517_1447,2018-05-17 14:47:55.300462
18,app,0005_auto_20180517_1731,2018-05-17 17:31:26.242616
19,app,0006_auto_20180518_1550,2018-05-18 15:50:05.688409
20,app,0007_auto_20180518_1552,2018-05-18 15:52:40.850284
21,jet,0001_initial,2018-05-22 09:57:55.152167
22,jet,0002_delete_userdashboardmodule,2018-05-22 09:57:55.534568
23,dashboard,0001_initial,2018-05-22 10:21:20.683606
24,app,0008_auto_20180522_1115,2018-05-22 11:15:34.559503
25,app,0009_auto_20180529_1550,2018-05-29 15:51:33.406285
26,account,0001_initial,2022-11-30 11:31:21.754755
27,account,0002_email_max_length,2022-11-30 11:31:21.768718
28,app,0010_auto_20221130_1131,2022-11-30 11:31:21.788665
29,auth,0009_alter_user_last_name_max_length,2022-11-30 11:31:21.803624
30,sites,0001_initial,2022-11-30 11:31:21.810607
31,sites,0002_alter_domain_unique,2022-11-30 11:31:21.820580
32,socialaccount,0001_initial,2022-11-30 11:31:21.855485
33,socialaccount,0002_token_max_lengths,2022-11-30 11:31:21.885406
34,socialaccount,0003_extra_data_default_dict,2022-11-30 11:31:21.900366
35,admin,0003_logentry_add_action_flag_choices,2022-12-02 11:15:52.601112
