type,name,tbl_name,rootpage,sql
table,django_migrations,django_migrations,2,"CREATE TABLE ""django_migrations"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""app"" varchar(255) NOT NULL, ""name"" varchar(255) NOT NULL, ""applied"" datetime NOT NULL)"
table,sqlite_sequence,sqlite_sequence,3,"CREATE TABLE sqlite_sequence(name,seq)"
table,auth_group,auth_group,8,"CREATE TABLE ""auth_group"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""name"" varchar(80) NOT NULL UNIQUE)"
index,sqlite_autoindex_auth_group_1,auth_group,10,
table,auth_group_permissions,auth_group_permissions,11,"CREATE TABLE ""auth_group_permissions"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""group_id"" integer NOT NULL REFERENCES ""auth_group"" (""id""), ""permission_id"" integer NOT NULL REFERENCES ""auth_permission"" (""id""))"
table,auth_user_groups,auth_user_groups,14,"CREATE TABLE ""auth_user_groups"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""user_id"" integer NOT NULL REFERENCES ""auth_user__old"" (""id""), ""group_id"" integer NOT NULL REFERENCES ""auth_group"" (""id""))"
table,auth_user_user_permissions,auth_user_user_permissions,16,"CREATE TABLE ""auth_user_user_permissions"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""user_id"" integer NOT NULL REFERENCES ""auth_user__old"" (""id""), ""permission_id"" integer NOT NULL REFERENCES ""auth_permission"" (""id""))"
index,auth_group_permissions_group_id_permission_id_0cd325b0_uniq,auth_group_permissions,19,"CREATE UNIQUE INDEX ""auth_group_permissions_group_id_permission_id_0cd325b0_uniq"" ON ""auth_group_permissions"" (""group_id"", ""permission_id"")"
index,auth_group_permissions_group_id_b120cbf9,auth_group_permissions,21,"CREATE INDEX ""auth_group_permissions_group_id_b120cbf9"" ON ""auth_group_permissions"" (""group_id"")"
index,auth_group_permissions_permission_id_84c5c92e,auth_group_permissions,22,"CREATE INDEX ""auth_group_permissions_permission_id_84c5c92e"" ON ""auth_group_permissions"" (""permission_id"")"
index,auth_user_groups_user_id_group_id_94350c0c_uniq,auth_user_groups,23,"CREATE UNIQUE INDEX ""auth_user_groups_user_id_group_id_94350c0c_uniq"" ON ""auth_user_groups"" (""user_id"", ""group_id"")"
index,auth_user_groups_user_id_6a12ed8b,auth_user_groups,24,"CREATE INDEX ""auth_user_groups_user_id_6a12ed8b"" ON ""auth_user_groups"" (""user_id"")"
index,auth_user_groups_group_id_97559544,auth_user_groups,25,"CREATE INDEX ""auth_user_groups_group_id_97559544"" ON ""auth_user_groups"" (""group_id"")"
index,auth_user_user_permissions_user_id_permission_id_14a6b632_uniq,auth_user_user_permissions,27,"CREATE UNIQUE INDEX ""auth_user_user_permissions_user_id_permission_id_14a6b632_uniq"" ON ""auth_user_user_permissions"" (""user_id"", ""permission_id"")"
index,auth_user_user_permissions_user_id_a95ead1b,auth_user_user_permissions,28,"CREATE INDEX ""auth_user_user_permissions_user_id_a95ead1b"" ON ""auth_user_user_permissions"" (""user_id"")"
index,auth_user_user_permissions_permission_id_1fbb5f2c,auth_user_user_permissions,29,"CREATE INDEX ""auth_user_user_permissions_permission_id_1fbb5f2c"" ON ""auth_user_user_permissions"" (""permission_id"")"
table,django_content_type,django_content_type,5,"CREATE TABLE ""django_content_type"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""app_label"" varchar(100) NOT NULL, ""model"" varchar(100) NOT NULL)"
index,django_content_type_app_label_model_76bd3d3b_uniq,django_content_type,4,"CREATE UNIQUE INDEX ""django_content_type_app_label_model_76bd3d3b_uniq"" ON ""django_content_type"" (""app_label"", ""model"")"
table,auth_permission,auth_permission,47,"CREATE TABLE ""auth_permission"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""content_type_id"" integer NOT NULL REFERENCES ""django_content_type"" (""id""), ""codename"" varchar(100) NOT NULL, ""name"" varchar(255) NOT NULL)"
index,auth_permission_content_type_id_codename_01ab375a_uniq,auth_permission,6,"CREATE UNIQUE INDEX ""auth_permission_content_type_id_codename_01ab375a_uniq"" ON ""auth_permission"" (""content_type_id"", ""codename"")"
index,auth_permission_content_type_id_2f476e4b,auth_permission,17,"CREATE INDEX ""auth_permission_content_type_id_2f476e4b"" ON ""auth_permission"" (""content_type_id"")"
table,django_session,django_session,12,"CREATE TABLE ""django_session"" (""session_key"" varchar(40) NOT NULL PRIMARY KEY, ""session_data"" text NOT NULL, ""expire_date"" datetime NOT NULL)"
index,sqlite_autoindex_django_session_1,django_session,13,
index,django_session_expire_date_a5c62663,django_session,46,"CREATE INDEX ""django_session_expire_date_a5c62663"" ON ""django_session"" (""expire_date"")"
table,app_casetype,app_casetype,67,"CREATE TABLE ""app_casetype"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""name"" varchar(256) NOT NULL, ""intro"" text NOT NULL, ""nav_display"" bool NOT NULL, ""home_display"" bool NOT NULL)"
table,app_customertype,app_customertype,42,"CREATE TABLE ""app_customertype"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""name"" varchar(256) NOT NULL, ""nav_display"" bool NOT NULL, ""home_display"" bool NOT NULL, ""intro"" text NOT NULL)"
table,app_settingsgroup,app_settingsgroup,74,"CREATE TABLE ""app_settingsgroup"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""name"" varchar(256) NOT NULL)"
table,app_case,app_case,43,"CREATE TABLE ""app_case"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""title"" varchar(256) NOT NULL, ""abstract"" text NULL, ""img"" varchar(100) NOT NULL, ""slug"" varchar(256) NOT NULL UNIQUE, ""content"" text NOT NULL, ""views"" integer unsigned NOT NULL, ""is_publish"" bool NOT NULL, ""update_time"" datetime NULL, ""type_id"" integer NOT NULL REFERENCES ""app_casetype"" (""id""), ""is_hot"" bool NOT NULL, ""pub_date"" datetime NOT NULL)"
index,sqlite_autoindex_app_case_1,app_case,45,
index,app_case_type_id_4dea4179,app_case,20,"CREATE INDEX ""app_case_type_id_4dea4179"" ON ""app_case"" (""type_id"")"
table,jet_bookmark,jet_bookmark,96,"CREATE TABLE ""jet_bookmark"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""url"" varchar(200) NOT NULL, ""title"" varchar(255) NOT NULL, ""user"" integer unsigned NOT NULL, ""date_add"" datetime NOT NULL)"
table,jet_pinnedapplication,jet_pinnedapplication,98,"CREATE TABLE ""jet_pinnedapplication"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""app_label"" varchar(255) NOT NULL, ""user"" integer unsigned NOT NULL, ""date_add"" datetime NOT NULL)"
table,dashboard_userdashboardmodule,dashboard_userdashboardmodule,78,"CREATE TABLE ""dashboard_userdashboardmodule"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""title"" varchar(255) NOT NULL, ""module"" varchar(255) NOT NULL, ""app_label"" varchar(255) NULL, ""user"" integer unsigned NOT NULL, ""column"" integer unsigned NOT NULL, ""order"" integer NOT NULL, ""settings"" text NOT NULL, ""children"" text NOT NULL, ""collapsed"" bool NOT NULL)"
table,app_banner,app_banner,182,"CREATE TABLE ""app_banner"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""menu"" integer NOT NULL, ""image"" varchar(100) NOT NULL, ""index"" integer NOT NULL, ""desc1"" varchar(15) NOT NULL, ""desc2"" varchar(20) NOT NULL, ""add_time"" datetime NOT NULL, ""is_use"" bool NOT NULL)"
table,app_notification,app_notification,33,"CREATE TABLE ""app_notification"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""title"" varchar(256) NOT NULL, ""content"" text NOT NULL, ""post_time"" datetime NOT NULL)"
table,account_emailconfirmation,account_emailconfirmation,125,"CREATE TABLE ""account_emailconfirmation"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""created"" datetime NOT NULL, ""sent"" datetime NULL, ""key"" varchar(64) NOT NULL UNIQUE, ""email_address_id"" integer NOT NULL REFERENCES ""account_emailaddress__old"" (""id"") DEFERRABLE INITIALLY DEFERRED)"
index,sqlite_autoindex_account_emailconfirmation_1,account_emailconfirmation,126,
index,account_emailconfirmation_email_address_id_5b7f8c58,account_emailconfirmation,129,"CREATE INDEX ""account_emailconfirmation_email_address_id_5b7f8c58"" ON ""account_emailconfirmation"" (""email_address_id"")"
table,account_emailaddress,account_emailaddress,131,"CREATE TABLE ""account_emailaddress"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""verified"" bool NOT NULL, ""primary"" bool NOT NULL, ""user_id"" integer NOT NULL REFERENCES ""auth_user__old"" (""id"") DEFERRABLE INITIALLY DEFERRED, ""email"" varchar(254) NOT NULL UNIQUE)"
index,sqlite_autoindex_account_emailaddress_1,account_emailaddress,132,
index,account_emailaddress_user_id_2c513194,account_emailaddress,122,"CREATE INDEX ""account_emailaddress_user_id_2c513194"" ON ""account_emailaddress"" (""user_id"")"
table,app_about,app_about,123,"CREATE TABLE ""app_about"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""name"" varchar(256) NOT NULL, ""content"" text NOT NULL, ""is_show"" bool NOT NULL, ""subtitle"" varchar(256) NOT NULL, ""title"" varchar(15) NOT NULL, ""img"" varchar(256) NOT NULL)"
table,app_customer,app_customer,136,"CREATE TABLE ""app_customer"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""title"" varchar(256) NOT NULL, ""img"" varchar(100) NOT NULL, ""slug"" varchar(256) NOT NULL UNIQUE, ""content"" text NOT NULL, ""views"" integer unsigned NOT NULL, ""is_publish"" bool NOT NULL, ""pub_date"" datetime NOT NULL, ""update_time"" datetime NULL, ""type_id"" integer NOT NULL REFERENCES ""app_customertype"" (""id"") DEFERRABLE INITIALLY DEFERRED)"
index,sqlite_autoindex_app_customer_1,app_customer,137,
index,app_customer_type_id_b35581f3,app_customer,37,"CREATE INDEX ""app_customer_type_id_b35581f3"" ON ""app_customer"" (""type_id"")"
table,app_settings,app_settings,39,"CREATE TABLE ""app_settings"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""title"" varchar(256) NOT NULL, ""value"" varchar(256) NOT NULL, ""var"" varchar(256) NOT NULL, ""settingsgroup_id"" integer NOT NULL REFERENCES ""app_settingsgroup"" (""id"") DEFERRABLE INITIALLY DEFERRED)"
index,app_settings_settingsgroup_id_ffb03671,app_settings,44,"CREATE INDEX ""app_settings_settingsgroup_id_ffb03671"" ON ""app_settings"" (""settingsgroup_id"")"
table,auth_user,auth_user,52,"CREATE TABLE ""auth_user"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""password"" varchar(128) NOT NULL, ""last_login"" datetime NULL, ""is_superuser"" bool NOT NULL, ""username"" varchar(150) NOT NULL UNIQUE, ""first_name"" varchar(30) NOT NULL, ""email"" varchar(254) NOT NULL, ""is_staff"" bool NOT NULL, ""is_active"" bool NOT NULL, ""date_joined"" datetime NOT NULL, ""last_name"" varchar(150) NOT NULL)"
index,sqlite_autoindex_auth_user_1,auth_user,55,
table,django_site,django_site,48,"CREATE TABLE ""django_site"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""name"" varchar(50) NOT NULL, ""domain"" varchar(100) NOT NULL UNIQUE)"
index,sqlite_autoindex_django_site_1,django_site,56,
table,socialaccount_socialapp_sites,socialaccount_socialapp_sites,58,"CREATE TABLE ""socialaccount_socialapp_sites"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""socialapp_id"" integer NOT NULL REFERENCES ""socialaccount_socialapp__old"" (""id"") DEFERRABLE INITIALLY DEFERRED, ""site_id"" integer NOT NULL REFERENCES ""django_site"" (""id"") DEFERRABLE INITIALLY DEFERRED)"
table,socialaccount_socialtoken,socialaccount_socialtoken,60,"CREATE TABLE ""socialaccount_socialtoken"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""token"" text NOT NULL, ""token_secret"" text NOT NULL, ""expires_at"" datetime NULL, ""account_id"" integer NOT NULL REFERENCES ""socialaccount_socialaccount__old"" (""id"") DEFERRABLE INITIALLY DEFERRED, ""app_id"" integer NOT NULL REFERENCES ""socialaccount_socialapp__old"" (""id"") DEFERRABLE INITIALLY DEFERRED)"
index,socialaccount_socialtoken_app_id_account_id_fca4e0ac_uniq,socialaccount_socialtoken,63,"CREATE UNIQUE INDEX socialaccount_socialtoken_app_id_account_id_fca4e0ac_uniq ON ""socialaccount_socialtoken"" (""app_id"", ""account_id"")"
index,socialaccount_socialapp_sites_socialapp_id_site_id_71a9a768_uniq,socialaccount_socialapp_sites,195,"CREATE UNIQUE INDEX socialaccount_socialapp_sites_socialapp_id_site_id_71a9a768_uniq ON ""socialaccount_socialapp_sites"" (""socialapp_id"", ""site_id"")"
index,socialaccount_socialapp_sites_socialapp_id_97fb6e7d,socialaccount_socialapp_sites,220,"CREATE INDEX ""socialaccount_socialapp_sites_socialapp_id_97fb6e7d"" ON ""socialaccount_socialapp_sites"" (""socialapp_id"")"
index,socialaccount_socialapp_sites_site_id_2579dee5,socialaccount_socialapp_sites,236,"CREATE INDEX ""socialaccount_socialapp_sites_site_id_2579dee5"" ON ""socialaccount_socialapp_sites"" (""site_id"")"
index,socialaccount_socialtoken_account_id_951f210e,socialaccount_socialtoken,237,"CREATE INDEX ""socialaccount_socialtoken_account_id_951f210e"" ON ""socialaccount_socialtoken"" (""account_id"")"
index,socialaccount_socialtoken_app_id_636a42d7,socialaccount_socialtoken,255,"CREATE INDEX ""socialaccount_socialtoken_app_id_636a42d7"" ON ""socialaccount_socialtoken"" (""app_id"")"
table,socialaccount_socialapp,socialaccount_socialapp,71,"CREATE TABLE ""socialaccount_socialapp"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""provider"" varchar(30) NOT NULL, ""name"" varchar(40) NOT NULL, ""client_id"" varchar(191) NOT NULL, ""key"" varchar(191) NOT NULL, ""secret"" varchar(191) NOT NULL)"
table,socialaccount_socialaccount,socialaccount_socialaccount,57,"CREATE TABLE ""socialaccount_socialaccount"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""provider"" varchar(30) NOT NULL, ""uid"" varchar(191) NOT NULL, ""last_login"" datetime NOT NULL, ""date_joined"" datetime NOT NULL, ""user_id"" integer NOT NULL REFERENCES ""auth_user"" (""id"") DEFERRABLE INITIALLY DEFERRED, ""extra_data"" text NOT NULL)"
index,socialaccount_socialaccount_provider_uid_fc810c6e_uniq,socialaccount_socialaccount,15,"CREATE UNIQUE INDEX socialaccount_socialaccount_provider_uid_fc810c6e_uniq ON ""socialaccount_socialaccount"" (""provider"", ""uid"")"
index,socialaccount_socialaccount_user_id_8146e70c,socialaccount_socialaccount,64,"CREATE INDEX ""socialaccount_socialaccount_user_id_8146e70c"" ON ""socialaccount_socialaccount"" (""user_id"")"
table,django_admin_log,django_admin_log,256,"CREATE TABLE ""django_admin_log"" (""id"" integer NOT NULL PRIMARY KEY AUTOINCREMENT, ""action_time"" datetime NOT NULL, ""object_id"" text NULL, ""object_repr"" varchar(200) NOT NULL, ""change_message"" text NOT NULL, ""content_type_id"" integer NULL REFERENCES ""django_content_type"" (""id"") DEFERRABLE INITIALLY DEFERRED, ""user_id"" integer NOT NULL REFERENCES ""auth_user"" (""id"") DEFERRABLE INITIALLY DEFERRED, ""action_flag"" smallint unsigned NOT NULL)"
index,django_admin_log_content_type_id_c4bce8eb,django_admin_log,30,"CREATE INDEX ""django_admin_log_content_type_id_c4bce8eb"" ON ""django_admin_log"" (""content_type_id"")"
index,django_admin_log_user_id_c564eba6,django_admin_log,54,"CREATE INDEX ""django_admin_log_user_id_c564eba6"" ON ""django_admin_log"" (""user_id"")"
